provinsi,year,wilayah,tpt,pe,defis,ginim,idi,popd,pvty (Head Count Index ),ginis,sch,hdi,nac,shuc,internet,pop,exp,psectorsize,gdpc,femaleprof,glroadprov,tlroadprov,pgi
KEP. BANGKA BELITUNG,2012,KBI,5.08,3.18,0.001090955,0.3,69.37,78,5.37,0.311,7.25,67.21,745,121862,26.04,1287,1090954.684,0.099622076,31172.42,45.73,0.506078055,1563,0.66
KEP. BANGKA BELITUNG,2013,KBI,5.63,2.92,0.00116279,0.325,68.79,80,5.25,0.307,7.32,67.92,805,259153,28.72,1315,1162789.812,0.100071395,32081.3,47.03,0.506078055,1563,0.62
KEP. BANGKA BELITUNG,2014,KBI,6.69,2.43,0.001081239,0.316,75.32,82,4.97,0.295,7.35,68.27,836,226125,31.31,1344,1081239.364,0.101235848,32859.64,47.87,0.506078055,1563,0.6
KEP. BANGKA BELITUNG,2015,KBI,6.2,1.89,0.001224818,0.291,72.31,84,4.83,0.275,7.46,69.05,812,30965,39.75,1373,1224818.369,0.101569478,33480.38,49.64,0.523915462,899,0.9
KEP. RIAU,2010,KBI,11.05,0,0.002011063,0.227,62.89,206,8.05,0.293,9.38,71.13,1372,10993,15.33,1679,2011063.22,0.060602907,65703.34,37.27,0.506334459,2368,1.05
KEP. RIAU,2011,KBI,11.69,3.53,0.001738908,0.312,70.78,213,7.4,0.379,9.46,71.61,1444,13011,40.5,1749,1738908.123,0.060136016,68024.21,39.92,0.506334459,2368,1.01
KEP. RIAU,2012,KBI,9.67,4.27,0.00185338,0.349,65.61,220,6.83,0.393,9.58,72.36,1444,13011,47.68,1805,1853379.713,0.059642898,70930,46.22,0.506756757,2368,0.85
KEP. RIAU,2013,KBI,8.63,3.97,0.001617911,0.359,66.5,227,6.35,0.38,9.63,73.02,1173,30169,49.57,1861,1617910.77,0.057889492,73743.33,42.97,0.521537162,2368,1.02
KEP. RIAU,2014,KBI,8.47,3.49,0.001945613,0.404,68.39,234,6.4,0.437,9.64,73.4,1391,64175,52.57,1917,1945613.023,0.056020991,76313.81,38.43,0.521432766,1703,0.74
KEP. RIAU,2015,KBI,7.23,3.03,0.00146679,0.361,70.26,241,5.78,0.339,9.65,73.75,1125,51649,60.53,1973,1466789.762,0.05455946,78625.43,46.41,0.519553073,895,0.86
DKI JAKARTA,2010,KBI,10.33,0,0.025692407,0.416083333,77.44,14518,3.48,0.361,10.37,76.31,4790,451582,19.13,9608,25692406.9,0.1273705,111528.86,43.38,0.405757576,6600,0.45
DKI JAKARTA,2011,KBI,9.96,5.51,0.025655183,0.438,77.81,14687,3.75,0.402,10.4,76.98,5021,528999,56.85,9752,25655183.42,0.127481791,117672.92,42.53,0.405697022,6951,0.6
DKI JAKARTA,2012,KBI,9.08,5.34,0.028063863,0.421,77.72,14852,3.7,0.437,10.43,77.53,5177,662551,63.62,9862,28063863.36,0.126605546,123962.38,48.83,0.405840886,6951,0.56
DKI JAKARTA,2013,KBI,9.16,4.92,0.030280497,0.433,71.18,15015,3.72,0.404,10.47,78.08,5579,769321,62.07,9970,30280497.28,0.130686636,130060.31,42.47,0.405840886,6951,0.39
DKI JAKARTA,2014,KBI,8.45,4.81,0.028932474,0.431,84.7,15173,4.09,0.436,10.54,78.39,5645,1845098,66.61,10075,28932474.48,0.125908731,136312.34,42.96,0.405840886,6951,0.6
DKI JAKARTA,2015,KBI,8.72,4.84,0.029570202,0.431,85.32,15328,3.61,0.421,10.7,78.99,6016,2121863,74.32,10178,29570202.34,0.120095603,142913.61,44.69,0.405766226,7041,0.27
JAWA BARAT,2010,KBI,6.21,0,0.011065881,0.298,59.41,1222,11.27,0.356,7.4,66.15,14771,971373,27.44,43054,11065880.56,0.060574549,20974.94,38.01,0.506139154,2199,1.93
JAWA BARAT,2011,KBI,7.07,4.78,0.010427499,0.422,66.18,1242,10.65,0.38,7.46,66.67,14856,1076372,28.24,43939,10427499.49,0.056906102,21976.53,38.19,0.506139154,2199,1.72
JAWA BARAT,2012,KBI,5.61,4.82,0.013330548,0.423,57.05,1262,9.89,0.422,7.52,67.32,15051,993250,32.48,44644,13330548.2,0.056736193,23036,38.76,0.506139154,2199,1.62
JAWA BARAT,2013,KBI,6.01,4.7,0.010688198,0.423,65.18,1282,9.61,0.406,7.58,68.25,15130,1569913,32.57,45341,10688198.47,0.053832636,24118.31,38.44,0.520691223,2199,1.65
JAWA BARAT,2014,KBI,5.68,3.52,0.014572179,0.433,71.52,1301,9.18,0.398,7.71,68.8,15633,1678967,37.47,46030,14572178.51,0.053091382,24966.86,40.22,0.520766773,2191,1.39
JAWA BARAT,2015,KBI,4.99,3.52,0.015810469,0.433,73.04,1320,9.57,0.426,7.86,69.5,16855,1849061,44.67,46710,15810469.24,0.054633918,25845.5,40,0.520766773,2191,1.67
JAWA TENGAH,2010,KBI,5.69,0,0.007226321,0.297,63.42,989,16.56,0.341,6.71,66.08,19617,1003128,19.12,32383,7226320.875,0.079373476,19209.31,44.89,0.508436445,889,2.49
JAWA TENGAH,2011,KBI,4.39,4.4,0.006785136,0.414,65.59,998,15.76,0.357,6.74,66.64,19679,278835,23.3,32725,6785136.45,0.077598165,20053.8,46.97,0.508436445,889,2.56
JAWA TENGAH,2012,KBI,3.9,4.47,0.008315764,0.409,63.79,1006,14.98,0.372,6.77,67.21,21146,361262,30.39,32999,8315764.274,0.076043069,20950.62,45.22,0.508436445,889,2.39
JAWA TENGAH,2013,KBI,3.24,4.27,0.00771266,0.421,60.84,1014,14.44,0.39,6.8,68.02,21832,563916,31.68,33264,7712659.994,0.076282978,21844.87,45.7,0.524184477,889,2.37
JAWA TENGAH,2014,KBI,3.33,4.46,0.009479553,0.402,77.44,1022,13.58,0.388,6.93,68.78,22563,629741,35.24,33523,9479552.694,0.07404745,22819.16,45.67,0.524032825,853,2.09
JAWA TENGAH,2015,KBI,4.07,4.68,0.010250448,0.42,69.75,1030,13.32,0.382,7.03,69.49,23059,687017,41.42,33774,10250448.49,0.07203809,23887.06,47.72,0.521829522,2405,2.17
DI YOGYAKARTA,2010,KBI,4.25,0,0.001564866,0.331,74.33,1107,16.83,0.407,8.51,75.37,1926,66375,38.12,3457,1564865.69,0.152258048,18652.97,46.01,0.506692913,2540,2.85
DI YOGYAKARTA,2011,KBI,5.38,3.94,0.001435632,0.39,71.67,1120,16.08,0.423,8.53,75.93,1926,92750,43.19,3510,1435632.5,0.151369967,19387.45,44.54,0.506692913,2540,2.51
DI YOGYAKARTA,2012,KBI,4.11,4.11,0.001653028,0.435,72.96,1134,15.88,0.449,8.63,76.15,2061,92863,49.32,3553,1653028.054,0.152153912,20183.88,43.83,0.506692913,2540,2.89
DI YOGYAKARTA,2013,KBI,4.3,4.23,0.001514994,0.45,72.36,1147,15.03,0.416,8.72,76.44,2172,98422,51.02,3595,1514993.956,0.152767706,21037.7,47.95,0.521653543,2540,2.13
DI YOGYAKARTA,2014,KBI,4.19,3.95,0.001985952,0.444,82.71,1161,14.55,0.435,8.84,76.81,2269,71486,56.03,3637,1985951.586,0.151579792,21867.9,45.76,0.52182385,2566,2.35
DI YOGYAKARTA,2015,KBI,4.47,3.75,0.002165001,0.443,83.19,1174,13.16,0.42,9,77.59,2369,230383,61.18,3679,2165001.435,0.152371583,22688.36,45.3,0.50726979,619,2.32
JAWA TIMUR,2010,KBI,13.68,0,0.011492276,0.287,55.12,786,15.26,0.337,6.73,65.36,19437,1137739,23.75,37477,11492275.73,0.0603293,26371.1,45.64,0.505797101,690,2.38
JAWA TIMUR,2011,KBI,13.74,5.66,0.010083527,0.387,55.98,792,14.23,0.351,6.79,66.06,25052,1711148,22.86,37841,10083527.44,0.057751185,27864.26,48.27,0.505797101,690,2.27
JAWA TIMUR,2012,KBI,9.94,5.9,0.011333243,0.385,54.99,797,13.08,0.362,6.85,66.74,25154,2114755,28.47,38107,11333243.26,0.057619669,29508.4,46.81,0.507246377,690,1.93
JAWA TIMUR,2013,KBI,9.54,5.37,0.010150433,0.387,59.32,803,12.73,0.368,6.9,67.55,25552,1492117,30.37,38363,10150433.38,0.057180812,31092.04,46.78,0.507246377,690,2.07
JAWA TIMUR,2014,KBI,9.07,5.18,0.0127276,0.391,70.36,808,12.28,0.403,7.05,68.14,27140,4457067,34.2,38610,12727599.55,0.055476563,32703.39,46.04,0.507246377,690,1.86
JAWA TIMUR,2015,KBI,9.55,4.8,0.013660914,0.442,76.9,813,12.28,0.403,7.14,68.95,27472,6755911,40.46,38848,13660914.12,0.053806212,34271.81,46.44,0.522167488,1421,2.13
BANTEN,2010,KBI,3.06,0,0.003238535,0.289,60.6,1106,7.16,0.419,7.92,67.54,4083,183712,14.6,10632,3238535.103,0.045826123,25397.65,39.69,0.506746627,2001,1
BANTEN,2011,KBI,2.95,4.53,0.003313873,0.404,67.37,1133,6.32,0.394,7.95,68.22,4298,148249,31.54,10944,3313873.054,0.046521822,26548.94,41.01,0.506746627,2001,0.9
BANTEN,2012,KBI,2.1,4.4,0.003881259,0.387,65.29,1159,5.71,0.384,8.06,68.92,4298,148249,37.94,11199,3881259.288,0.045808622,27716.47,39.34,0.506746627,2001,0.95
BANTEN,2013,KBI,1.83,4.31,0.00368541,0.402,69.79,1185,5.89,0.38,8.17,69.47,4578,603160,38.59,11453,3685409.561,0.044979582,28910.66,38.17,0.522238881,2001,1.02
BANTEN,2014,KBI,1.9,3.24,0.004579291,0.401,75.5,1211,5.51,0.424,8.19,69.89,3895,1587398,43.14,11705,4579291.449,0.042591757,29846.64,41.07,0.522430437,1761,0.79
BANTEN,2015,KBI,1.99,3.24,0.005112725,0.411,68.46,1237,5.75,0.386,8.27,70.27,4168,324672,48.15,11955,5112724.764,0.042361372,30813.03,41.32,0.524590164,732,0.9
BALI,2010,KBI,5.29,0,0.002663962,0.313,72.44,676,4.88,0.366,7.74,70.1,3632,249269,14.74,3891,2663961.606,0.11679856,23992.63,43.19,0.506228766,883,0.71
BALI,2011,KBI,5.25,5.31,0.002599587,0.409,74.2,685,4.2,0.387,7.77,70.87,3766,491833,32.73,3958,2599586.57,0.117251885,25265.96,41.32,0.506228766,883,0.66
BALI,2012,KBI,5.23,5.63,0.002963937,0.459,71.75,693,3.95,0.397,8.05,71.62,3970,134621,38.91,4007,2963936.566,0.11647523,26689.58,39.5,0.506228766,883,0.39
BALI,2013,KBI,5.3,5.4,0.002636341,0.419,72.22,702,4.49,0.44,8.1,72.09,4202,181562,41.96,4056,2636341.215,0.116431745,28129.67,41.79,0.5198188,883,0.7
BALI,2014,KBI,5.75,5.47,0.003160839,0.429,76.13,710,4.76,0.442,8.11,72.48,4401,231454,45.67,4105,3160838.604,0.099670756,29668.9,44.36,0.519163763,861,0.86
BALI,2015,KBI,5.69,4.8,0.003251402,0.382,79.83,718,5.25,0.399,8.26,73.27,4327,289185,53.64,4153,3251402.479,0.100170107,31093.61,45.46,0.519515478,743,1.13
NUSA TENGGARA BARAT,2010,KTI,3.34,0,0.001291345,0.328,58.13,243,21.55,0.396,5.73,61.16,2848,38660,14.97,4500,1291345.062,0.130960833,15527.41,39,0.506239826,1843,3.77
NUSA TENGGARA BARAT,2011,KTI,3.11,-5.29,0.001317863,0.38,54.49,247,19.73,0.366,6.07,62.14,2693,18864,13.58,4582,1317862.907,0.143657667,14705.77,39.37,0.506239826,1843,3.54
NUSA TENGGARA BARAT,2012,KTI,3.04,-2.92,0.0015157,0.39,57.97,250,18.02,0.354,6.33,62.98,3186,55176,16.25,4647,1515699.942,0.150567526,14276.69,40.92,0.506239826,1843,3.2
NUSA TENGGARA BARAT,2013,KTI,3.25,3.73,0.001520884,0.398,57.22,254,17.25,0.349,6.54,63.76,2627,60979,17.75,4711,1520884.426,0.145680354,14809.84,40.96,0.520889853,1843,2.72
NUSA TENGGARA BARAT,2014,KTI,3.26,3.78,0.001577359,0.426,62.62,257,17.05,0.391,6.67,64.31,2283,74410,22.33,4774,1577358.84,0.151448274,15369.94,40.38,0.520880361,1772,2.92
NUSA TENGGARA BARAT,2015,KTI,3.83,20.2,0.002018989,0.399,65.08,260,16.54,0.36,6.71,65.19,2385,82775,27.76,4836,2018988.824,0.126725677,18475.14,43.95,0.520538721,1485,2.72
NUSA TENGGARA TIMUR,2010,KTI,4.62,0,0.001259152,0.345,72.05,97,23.03,0.378,6.5,59.21,1487,20505,21.38,4684,1259152.022,0.273215906,9316.79,44.28,0.507196315,1737,4.74
NUSA TENGGARA TIMUR,2011,KTI,4.6,3.85,0.001115603,0.357,72.34,98,21.23,0.33,6.6,60.24,1800,130093,10.49,4789,1115603.104,0.275039619,9675.89,45.87,0.507196315,1737,4.2
NUSA TENGGARA TIMUR,2012,KTI,3.54,3.67,0.0016295,0.379,72.67,100,20.41,0.358,6.71,60.81,2122,123168,13.02,4871,1629499.952,0.276216232,10030.98,47.22,0.507772021,1737,3.47
NUSA TENGGARA TIMUR,2013,KTI,3.99,3.65,0.001490817,0.36,73.29,102,20.24,0.344,6.76,61.68,2408,159604,15.28,4954,1490816.898,0.294853814,10396.76,44.88,0.507772021,1737,3.04
NUSA TENGGARA TIMUR,2014,KTI,4.04,3.32,0.001700835,0.345,68.81,103,19.6,0.355,6.85,62.26,2818,211364,17.5,5037,1700834.602,0.28699864,10742.32,48.15,0.507772021,1737,3.25
NUSA TENGGARA TIMUR,2015,KTI,5.15,3.22,0.001976307,0.332,78.47,105,22.58,0.348,6.93,62.67,3394,384138,21.68,5120,1976306.648,0.29254655,11087.91,47.52,0.507772021,1737,4.62
KALIMANTAN BARAT,2010,KTI,4.14,0,0.001873049,0.309,69.32,30,9.02,0.37,6.27,61.97,2302,85001,23.1,4396,1873048.839,0.126787305,19510.07,41.28,0.506642512,1656,1.18
KALIMANTAN BARAT,2011,KTI,3.54,3.68,0.0018795,0.417,74.86,30,8.6,0.363,6.32,62.35,2363,99422,18.64,4489,1879500.241,0.126556345,20227.16,43.42,0.506642512,1656,1.24
KALIMANTAN BARAT,2012,KTI,3.14,4.13,0.002223543,0.434,65.38,31,7.96,0.395,6.62,63.41,2529,110697,20.45,4566,2223543.35,0.125505435,21062.22,45.37,0.506642512,1656,1.24
KALIMANTAN BARAT,2013,KTI,3,4.32,0.002058166,0.439,67.52,32,8.74,0.384,6.69,64.3,2697,117990,20.12,4641,2058166.396,0.125490051,21971.93,40.6,0.52173913,1656,1.3
KALIMANTAN BARAT,2014,KTI,3.24,3.37,0.002164952,0.423,80.58,32,8.07,0.402,6.83,64.89,2871,142226,23.91,4716,2164951.743,0.126548427,22712.65,46.62,0.521766965,1562,1.26
KALIMANTAN BARAT,2015,KTI,4.54,3.28,0.002329207,0.354,76.4,33,8.44,0.33,6.93,65.59,2944,162705,31.41,4790,2329207.083,0.130036593,23456.52,46.77,0.521766965,1562,1.09
KALIMANTAN TENGAH,2010,KTI,5.25,0,0.00154811,0.295,71.1,14,6.77,0.304,7.62,65.96,1718,30070,29.51,2212,1548109.626,0.145361915,25455.05,43.31,0.506440281,1708,1.02
KALIMANTAN TENGAH,2011,KTI,6.29,4.45,0.001586137,0.339,76.28,15,6.56,0.334,7.68,66.38,1894,30628,20.87,2275,1586136.589,0.145173801,26588.9,45.22,0.506440281,1708,0.99
KALIMANTAN TENGAH,2012,KTI,5.19,4.36,0.001988479,0.367,65.78,15,6.19,0.332,7.73,66.66,1999,43723,23.9,2330,1988478.561,0.147573508,27749.01,43.55,0.506440281,1708,1.08
KALIMANTAN TENGAH,2013,KTI,3.66,4.89,0.001560195,0.403,64.15,16,6.23,0.358,7.79,67.41,2186,63400,27.07,2385,1560195.173,0.14655946,29106.4,43.86,0.521662763,1708,1.02
KALIMANTAN TENGAH,2014,KTI,3.8,3.81,0.001978646,0.419,79,16,6.07,0.365,7.82,67.77,2268,90192,31.38,2440,1978645.641,0.14645957,30216.73,47.59,0.521818182,1100,0.97
KALIMANTAN TENGAH,2015,KTI,4.92,4.64,0.001963409,0.366,73.46,16,5.91,0.3,8.03,68.53,2405,57320,38.17,2495,1963409.442,0.151229743,31619.18,45.07,0.521818182,1100,1.02
KALIMANTAN SELATAN,2010,KTI,10.1,0,0.002660389,0.306,70.94,94,5.21,0.366,7.25,65.2,1493,50323,23.12,3627,2660388.502,0.124938314,23418.47,45.05,0.506157635,812,0.69
KALIMANTAN SELATAN,2011,KTI,11.43,4.91,0.002681795,0.387,66.47,96,5.29,0.353,7.37,65.89,1578,184007,27.31,3714,2681794.526,0.121365981,24567.52,45.02,0.506157635,812,0.81
KALIMANTAN SELATAN,2012,KTI,9.02,3.99,0.00356412,0.404,61.13,98,5.01,0.364,7.48,66.68,1616,144203,30.18,3785,3564119.977,0.118585232,25547.77,42.16,0.506157635,812,0.76
KALIMANTAN SELATAN,2013,KTI,7.95,3.43,0.002836731,0.386,63.71,99,4.76,0.356,7.59,67.17,1633,121776,33.6,3855,2836731.497,0.116634251,26423.9,44.04,0.522167488,812,0.61
KALIMANTAN SELATAN,2014,KTI,7.38,3.01,0.00318288,0.388,70.84,101,4.81,0.326,7.6,67.63,1669,119743,35.84,3923,3182880.23,0.114217257,27220.27,44.32,0.522300469,852,0.65
